step,file,tensor,orientation,rows,cols,cells,dense_bytes,distinct_nonzero_values,singleton_terminals,minimum_symbol_width,minimum_dictionary_and_singleton_bytes,bound_ratio,rejected_95pct,current_uint32_terminal_overflow,positive_zero_cells
1000,optimizer.safetensors,muon.blocks.1.attn.c_k.weight,transposed,512,512,262144,1048576,261728,262144,27,1931712,1.84222412109375,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_proj.weight,original,512,512,262144,1048576,261667,262138,27,1931448,1.8419723510742188,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_proj.weight,transposed,512,512,262144,1048576,261667,262142,27,1931462,1.8419857025146484,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_q.weight,original,512,512,262144,1048576,261737,262142,27,1931742,1.8422527313232422,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_q.weight,transposed,512,512,262144,1048576,261737,262142,27,1931742,1.8422527313232422,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_v.weight,original,512,512,262144,1048576,261741,262144,27,1931764,1.8422737121582031,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.c_v.weight,transposed,512,512,262144,1048576,261741,262142,27,1931758,1.8422679901123047,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.ve_gate.weight,original,4,32,128,512,128,128,13,784,1.53125,True,False,0
1000,optimizer.safetensors,muon.blocks.1.attn.ve_gate.weight,transposed,32,4,128,512,128,128,10,736,1.4375,True,False,0
1000,optimizer.safetensors,muon.blocks.1.mlp.c_fc.weight,original,2048,512,1048576,4194304,1043514,1048554,29,7975129,1.901418924331665,True,False,0
1000,optimizer.safetensors,muon.blocks.1.mlp.c_fc.weight,transposed,512,2048,1048576,4194304,1043514,1048568,31,8237321,1.963930368423462,True,False,0
1000,optimizer.safetensors,muon.blocks.1.mlp.c_proj.weight,original,512,2048,1048576,4194304,1043462,1048568,31,8237113,1.9638807773590088,True,False,0
1000,optimizer.safetensors,muon.blocks.1.mlp.c_proj.weight,transposed,2048,512,1048576,4194304,1043462,1048542,29,7974877,1.9013588428497314,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_k.weight,original,512,512,262144,1048576,261704,262144,27,1931616,1.842132568359375,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_k.weight,transposed,512,512,262144,1048576,261704,262144,27,1931616,1.842132568359375,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_proj.weight,original,512,512,262144,1048576,261709,262140,27,1931623,1.8421392440795898,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_proj.weight,transposed,512,512,262144,1048576,261709,262140,27,1931623,1.8421392440795898,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_q.weight,original,512,512,262144,1048576,261704,262144,27,1931616,1.842132568359375,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_q.weight,transposed,512,512,262144,1048576,261704,262138,27,1931596,1.8421134948730469,True,False,0
1000,optimizer.safetensors,muon.blocks.2.attn.c_v.weight,original,512,512,262144,1048576,261730,262140,27,1931707,1.842219352722168,True,False,0
